movie_title,movie_year,runtime,genre,rating,director,votes,gross_earning
Dracula,1931,75,"Drama, Fantasy, Horror",7.4,Tod Browning,55288,
The Devil's Backbone,2001,106,"Drama, Horror, Thriller",7.4,Guillermo del Toro,68728,750000
The Haunting,1963,112,Horror,7.4,Robert Wise,40711,2620000
Thesis,1996,125,"Crime, Horror, Mystery",7.4,Alejandro Amenábar,40595,
Bhool Bhulaiyaa,2007,159,"Comedy, Horror, Mystery",7.4,Priyadarshan,30282,1070000
Hereditary,2018,127,"Drama, Horror, Mystery",7.3,Ari Aster,343335,44070000
It I,2017,135,Horror,7.3,Andy Muschietti,571035,327480000
Split IX,2016,117,"Horror, Thriller",7.3,M. Night Shyamalan,519308,138290000
Doctor Sleep,2019,152,"Drama, Fantasy, Horror",7.3,Mike Flanagan,202482,31580000
Dawn of the Dead,2004,101,"Action, Horror",7.3,Zack Snyder,263099,59020000
Possession,1981,124,"Drama, Horror",7.3,Andrzej Zulawski,36874,1110000
Poltergeist,1982,114,"Horror, Thriller",7.3,Tobe Hooper,170924,76610000
Sweeney Todd: The Demon Barber of Fleet Street,2007,116,"Drama, Horror, Musical",7.3,Tim Burton,376557,52900000
Gremlins,1984,106,"Comedy, Fantasy, Horror",7.3,Joe Dante,234614,148170000
The Conjuring 2,2016,134,"Horror, Mystery, Thriller",7.3,James Wan,282543,102470000
Sleepy Hollow,1999,105,"Fantasy, Horror, Mystery",7.3,Tim Burton,370303,101070000
Take Shelter,2011,120,"Drama, Horror, Sci-Fi",7.3,Jeff Nichols,103846,1730000
Eraserhead,1977,89,"Fantasy, Horror",7.3,David Lynch,121484,7000000
Suspiria,1977,92,Horror,7.3,Dario Argento,98751,
The Return of the Living Dead,1985,91,"Comedy, Horror, Sci-Fi",7.3,Dan O'Bannon,64592,14240000
Twin Peaks: Fire Walk with Me,1992,134,"Drama, Horror, Mystery",7.3,David Lynch,100656,4160000
House,1977,88,"Comedy, Horror",7.3,Nobuhiko Ôbayashi,30498,
Pi,1998,84,"Drama, Horror, Mystery",7.3,Darren Aronofsky,182946,3220000
The Hidden Face,2011,97,"Drama, Horror, Mystery",7.3,Andrés Baiz,44415,
Bacurau,2019,131,"Action, Adventure, Drama",7.3,Juliano Dornelles,29082,
The Menu,2022,107,"Comedy, Horror, Thriller",7.2,Mark Mylod,323131,
From Dusk Till Dawn,1996,108,"Action, Crime, Horror",7.2,Robert Rodriguez,326069,25750000
The Lost Boys,1987,97,"Comedy, Horror",7.2,Joel Schumacher,150478,32220000
A Quiet Place Part II,2020,97,"Drama, Horror, Sci-Fi",7.2,John Krasinski,248967,160070000
The Descent,2005,99,"Adventure, Horror, Thriller",7.2,Neil Marshall,233687,26020000
They Live,1988,94,"Action, Horror, Sci-Fi",7.2,John Carpenter,136510,13010000
I Am Legend,2007,101,"Action, Drama, Horror",7.2,Francis Lawrence,781259,256390000
10 Cloverfield Lane,2016,103,"Drama, Horror, Mystery",7.2,Dan Trachtenberg,340537,72080000
Dead Ringers,1988,116,"Drama, Horror, Thriller",7.2,David Cronenberg,50992,9130000
Angel Heart,1987,113,"Horror, Mystery, Thriller",7.2,Alan Parker,91791,17190000
An American Crime,2007,98,"Biography, Crime, Drama",7.2,Tommy O'Haver,35826,
Videodrome,1983,87,"Horror, Sci-Fi, Thriller",7.2,David Cronenberg,97693,2120000
Re-Animator,1985,84,"Comedy, Horror, Sci-Fi",7.2,Stuart Gordon,68040,2020000
Only Lovers Left Alive,2013,123,"Comedy, Drama, Fantasy",7.2,Jim Jarmusch,104159,1880000
The Changeling,1980,107,"Horror, Mystery",7.2,Peter Medak,37163,
Ringu,1998,96,"Horror, Mystery",7.2,Hideo Nakata,73508,
The Dead Zone,1983,103,"Drama, Horror, Sci-Fi",7.2,David Cronenberg,73727,20770000
Sleep Tight,2011,102,"Crime, Drama, Horror",7.2,Jaume Balagueró,44718,
Horror of Dracula,1958,82,"Drama, Horror",7.2,Terence Fisher,26472,
The Wolf Man,1941,70,"Horror, Mystery, Romance",7.2,George Waggner,28724,
Midsommar,2019,148,"Drama, Horror, Mystery",7.1,Ari Aster,354167,27330000
The Ring,2002,115,"Horror, Mystery",7.1,Gore Verbinski,360824,129130000
Prey I,2022,100,"Action, Adventure, Drama",7.1,Dan Trachtenberg,207940,
The Mist,2007,126,"Horror, Sci-Fi, Thriller",7.1,Frank Darabont,323435,25590000
Don't Breathe,2016,88,"Crime, Horror, Thriller",7.1,Fede Alvarez,286498,89220000
Little Shop of Horrors,1986,94,"Comedy, Horror, Musical",7.1,Frank Oz,80770,38750000
Blade,1998,120,"Action, Horror, Sci-Fi",7.1,Stephen Norrington,285069,70090000
Bone Tomahawk,2015,132,"Drama, Horror, Western",7.1,S. Craig Zahler,107954,
The Invisible Man I,2020,124,"Drama, Horror, Mystery",7.1,Leigh Whannell,238588,70410000
Tremors,1990,96,"Comedy, Horror",7.1,Ron Underwood,143452,16670000
Planet Terror,2007,105,"Action, Comedy, Horror",7.1,Robert Rodriguez,217087,
The Call,2020,112,"Crime, Horror, Mystery",7.1,Chung-Hyun Lee,37886,
Don't Look Now,1973,110,"Drama, Horror, Mystery",7.1,Nicolas Roeg,58877,980000
Let Me In I,2010,116,"Drama, Fantasy, Horror",7.1,Matt Reeves,124539,12130000
Cube,1997,90,"Drama, Horror, Mystery",7.1,Vincenzo Natali,239015,500000
The Frighteners,1996,110,"Comedy, Fantasy, Horror",7.1,Peter Jackson,91980,16760000
Audition,1999,115,"Drama, Horror, Mystery",7.1,Takashi Miike,84967,
In the Mouth of Madness,1994,95,"Drama, Fantasy, Horror",7.1,John Carpenter,74185,8950000
The Host,2006,120,"Drama, Horror, Sci-Fi",7.1,Bong Joon Ho,127160,2200000
The Thing from Another World,1951,87,"Horror, Sci-Fi",7.1,Christian Nyby,31634,
Day of the Dead,1985,101,"Horror, Thriller",7.1,George A. Romero,71624,5800000
Timecrimes,2007,92,"Horror, Mystery, Sci-Fi",7.1,Nacho Vigalondo,66167,40000
Black Christmas,1974,98,"Horror, Mystery, Thriller",7.1,Bob Clark,44485,4050000
A Tale of Two Sisters,2003,114,"Drama, Horror, Mystery",7.1,Jee-woon Kim,65125,
Thirst,2009,134,"Drama, Fantasy, Horror",7.1,Park Chan-wook,49291,300000
The Fearless Vampire Killers,1967,91,"Comedy, Horror",7.1,Roman Polanski,32778,
Pearl,2022,103,"Drama, Horror, Thriller",7,Ti West,60574,
Barbarian,2022,102,"Horror, Mystery, Thriller",7,Zach Cregger,150220,
Orphan,2009,123,"Horror, Mystery, Thriller",7,Jaume Collet-Serra,240096,41600000
Last Night in Soho,2021,116,"Drama, Horror, Mystery",7,Edgar Wright,151594,
The Platform,2019,94,"Horror, Sci-Fi, Thriller",7,Galder Gaztelu-Urrutia,246812,
Cloverfield,2008,85,"Action, Adventure, Horror",7,Matt Reeves,409328,80050000
The Cabin in the Woods,2011,95,"Horror, Mystery, Thriller",7,Drew Goddard,431746,42070000
Martyrs,2008,99,Horror,7,Pascal Laugier,100077,
The Killing of a Sacred Deer,2017,121,"Drama, Horror, Mystery",7,Yorgos Lanthimos,164977,2290000
World War Z,2013,116,"Action, Adventure, Horror",7,Marc Forster,688746,202360000
Constantine,2005,121,"Action, Fantasy, Horror",7,Francis Lawrence,359071,75980000
Pitch Black,2000,109,"Action, Horror, Sci-Fi",7,David Twohy,247313,39240000
Hotel Transylvania,2012,91,"Animation, Adventure, Comedy",7,Genndy Tartakovsky,266508,148310000
Hellboy II: The Golden Army,2008,120,"Action, Adventure, Fantasy",7,Guillermo del Toro,278818,75750000
Green Room,2015,95,"Crime, Drama, Horror",7,Jeremy Saulnier,131693,3220000
Fright Night,1985,106,"Fantasy, Horror",7,Tom Holland,74547,24920000
Raw,2016,99,"Drama, Horror",7,Julia Ducournau,83304,510000
Brotherhood of the Wolf,2001,142,"Action, Adventure, Drama",7,Christophe Gans,68793,11260000
Shutter II,2004,97,"Horror, Mystery, Thriller",7,Banjong Pisanthanakun,47015,
Thelma,2017,116,"Drama, Fantasy, Horror",7,Joachim Trier,34644,150000
Henry: Portrait of a Serial Killer,1986,83,"Biography, Crime, Drama",7,John McNaughton,38529,610000
Tenebrae,1982,101,"Drama, Horror, Mystery",7,Dario Argento,25691,
Carnival of Souls,1962,78,"Horror, Mystery",7,Herk Harvey,26143,
The Mummy,1932,73,"Fantasy, Horror",7,Karl Freund,28354,
Doctor Strange in the Multiverse of Madness,2022,126,"Action, Adventure, Fantasy",6.9,Sam Raimi,440936,411330000
The Black Phone,2021,103,"Horror, Thriller",6.9,Scott Derrickson,168369,90120000
The VVitch: A New-England Folktale,2015,92,"Drama, Fantasy, Horror",6.9,Robert Eggers,277751,25140000
Climax I,2018,97,"Drama, Horror, Music",6.9,Gaspar Noé,73695,800000
28 Weeks Later,2007,100,"Action, Adventure, Horror",6.9,Juan Carlos Fresnadillo,284000,28640000
Hocus Pocus,1993,96,"Comedy, Family, Fantasy",6.9,Kenny Ortega,145947,44340000
Hellraiser,1987,94,"Horror, Thriller",6.9,Clive Barker,132887,14560000
Near Dark,1987,94,Horror,6.9,Kathryn Bigelow,42670,3370000
Ravenous,1999,101,"Adventure, Drama, Horror",6.9,Antonia Bird,41616,2060000
Altered States,1980,102,"Horror, Sci-Fi, Thriller",6.9,Ken Russell,36892,19850000
Stir of Echoes,1999,99,"Horror, Mystery, Thriller",6.9,David Koepp,84251,21130000
Bubba Ho-Tep,2002,92,"Comedy, Fantasy, Horror",6.9,Don Coscarelli,50182,2000000
A Girl Walks Home Alone at Night,2014,101,"Drama, Horror, Romance",6.9,Ana Lily Amirpour,37115,
The Monster Squad,1987,79,"Action, Comedy, Fantasy",6.9,Fred Dekker,33711,3770000
Creature from the Black Lagoon,1954,79,"Horror, Sci-Fi",6.9,Jack Arnold,32344,1300000
Troll Hunter,2010,103,"Drama, Fantasy, Horror",6.9,André Øvredal,77389,250000
Shadow of the Vampire,2000,92,"Drama, Horror",6.9,E. Elias Merhige,43072,8290000
Frankenweenie,2012,87,"Animation, Comedy, Drama",6.9,Tim Burton,112066,35290000
Bhoot Police,2021,129,"Comedy, Horror",6.9,Pavan Kirpalani,26993,
Nope,2022,130,"Horror, Mystery, Sci-Fi",6.8,Jordan Peele,232097,123280000
Bones and All,2022,131,"Drama, Horror, Romance",6.8,Luca Guadagnino,43064,
Ready or Not I,2019,95,"Action, Comedy, Horror",6.8,Matt Bettinelli-Olpin,164600,28710000
Insidious I,2010,103,"Horror, Mystery, Thriller",6.8,James Wan,319707,54010000
It Follows,2014,100,"Horror, Mystery, Thriller",6.8,David Robert Mitchell,253503,14670000
Annihilation I,2018,115,"Adventure, Drama, Horror",6.8,Alex Garland,340306,32730000
Sinister,2012,110,"Horror, Mystery, Thriller",6.8,Scott Derrickson,264038,48090000
Us II,2019,116,"Horror, Mystery, Thriller",6.8,Jordan Peele,316383,175080000
The House That Jack Built,2018,152,"Crime, Drama, Horror",6.8,Lars von Trier,83053,90000
The Babadook,2014,94,"Horror, Mystery",6.8,Jennifer Kent,234393,920000
The Autopsy of Jane Doe,2016,86,"Horror, Mystery, Thriller",6.8,André Øvredal,127065,10000
Warm Bodies,2013,98,"Comedy, Horror, Romance",6.8,Jonathan Levine,236475,66380000
Hellboy,2004,122,"Action, Adventure, Fantasy",6.8,Guillermo del Toro,338908,59620000
Odd Thomas,2013,97,"Comedy, Fantasy, Horror",6.8,Stephen Sommers,55393,
Exam,2009,101,"Crime, Horror, Mystery",6.8,Stuart Hazeldine,120312,
1408,2007,104,"Fantasy, Horror, Mystery",6.8,Mikael Håfström,282365,71990000
The Fog,1980,89,"Horror, Thriller",6.8,John Carpenter,78302,21380000
Creepshow,1982,120,"Comedy, Fantasy, Horror",6.8,George A. Romero,50496,21030000
Ginger Snaps,2000,108,"Drama, Fantasy, Horror",6.8,John Fawcett,49563,
The Witches,1990,91,"Adventure, Comedy, Family",6.8,Nicolas Roeg,52433,10360000
eXistenZ,1999,97,"Horror, Mystery, Sci-Fi",6.8,David Cronenberg,103653,2840000
Dog Soldiers,2002,105,"Action, Horror, Thriller",6.8,Neil Marshall,62964,
Dead Calm,1989,96,"Horror, Thriller",6.8,Phillip Noyce,42222,7830000
Shin Godzilla,2016,120,"Action, Drama, Horror",6.8,Hideaki Anno,29845,1920000
Zombie,1979,91,Horror,6.8,Lucio Fulci,29370,
The Brood,1979,92,"Horror, Sci-Fi",6.8,David Cronenberg,32397,
Night of the Living Dead,1990,92,Horror,6.8,Tom Savini,43906,5840000
House on Haunted Hill,1959,75,"Crime, Horror, Mystery",6.8,William Castle,29039,
Stonehearst Asylum,2014,112,"Drama, Horror, Mystery",6.8,Brad Anderson,58532,
Under the Shadow,2016,84,"Drama, Fantasy, Horror",6.8,Babak Anvari,28891,30000
Dead Snow 2: Red vs. Dead,2014,100,"Action, Comedy, Fantasy",6.8,Tommy Wirkola,25807,
Evil Dead Rise,2023,96,Horror,6.7,Lee Cronin,78836,
Suspiria I,2018,152,"Drama, Fantasy, Horror",6.7,Luca Guadagnino,84786,2470000
Eden Lake,2008,91,"Horror, Thriller",6.7,James Watkins,89408,10000
Final Destination,2000,98,"Horror, Thriller",6.7,James Wong,266158,53330000
Fresh,2022,114,"Horror, Thriller",6.7,Mimi Cave,63592,
Zombieland: Double Tap,2019,99,"Action, Comedy, Horror",6.7,Ruben Fleischer,189496,73120000
The Devil's Rejects,2005,107,"Crime, Horror, Western",6.7,Rob Zombie,103048,17040000
Pandorum,2009,108,"Action, Horror, Mystery",6.7,Christian Alvart,155042,10330000
Christine,1983,110,"Horror, Thriller",6.7,John Carpenter,87453,21200000
Marrowbone,2017,110,"Adventure, Drama, Horror",6.7,Sergio G. Sánchez,35303,
The Gift,2000,111,"Drama, Fantasy, Horror",6.7,Sam Raimi,72059,12010000
Blade II,2002,117,"Action, Horror, Sci-Fi",6.7,Guillermo del Toro,225970,82350000
High Tension,2003,91,Horror,6.7,Alexandre Aja,74795,3680000
Candyman,1992,99,"Horror, Thriller",6.7,Bernard Rose,95591,25790000
Return to Oz,1985,113,"Adventure, Family, Fantasy",6.7,Walter Murch,28909,
Saint Maud,2019,84,"Drama, Horror, Mystery",6.7,Rose Glass,41913,
From Hell,2001,122,"Horror, Mystery, Thriller",6.7,Albert Hughes,159793,31600000
Fear Street: Part Two - 1978,2021,109,"Drama, Horror, Mystery",6.7,Leigh Janiak,69358,
Scanners,1981,103,"Horror, Sci-Fi, Thriller",6.7,David Cronenberg,58736,14230000
The Exorcism of Emily Rose,2005,119,"Drama, Horror, Thriller",6.7,Scott Derrickson,134571,75070000
Summer of 84,2018,105,"Drama, Horror, Mystery",6.7,François Simard,43321,90000
Inside,2007,82,Horror,6.7,Alexandre Bustillo,42811,
Trick 'r Treat,2007,82,"Comedy, Horror",6.7,Michael Dougherty,97225,
Phenomena,1985,116,"Crime, Horror, Mystery",6.7,Dario Argento,28456,
Where the Wild Things Are,2009,101,"Adventure, Drama, Family",6.7,Spike Jonze,106812,77230000
Goodnight Mommy,2014,99,"Horror, Mystery, Thriller",6.7,Severin Fiala,57113,1170000
Spring I,2014,109,"Horror, Romance, Sci-Fi",6.7,Justin Benson,29941,50000
Tales from the Crypt: Demon Knight,1995,92,"Action, Fantasy, Horror",6.7,Ernest R. Dickerson,25144,21090000
Ju-on: The Grudge,2002,92,Horror,6.7,Takashi Shimizu,46324,330000
Turbo Kid,2015,93,"Action, Adventure, Comedy",6.7,François Simard,28926,50000
Cronos,1992,94,"Drama, Fantasy, Horror",6.7,Guillermo del Toro,31873,620000
Housebound,2014,107,"Comedy, Horror, Mystery",6.7,Gerard Johnstone,36448,
Dark Water,2002,101,"Drama, Horror, Mystery",6.7,Hideo Nakata,33695,
Los ojos de Julia,2010,118,"Horror, Mystery, Thriller",6.7,Guillem Morales,36473,
Fido,2006,93,"Comedy, Drama, Horror",6.7,Andrew Currie,29699,300000
X II,2022,105,"Horror, Mystery, Thriller",6.6,Ti West,132694,
Scream VI,2023,122,"Horror, Mystery, Thriller",6.6,Matt Bettinelli-Olpin,81797,
The Pale Blue Eye,2022,128,"Crime, Horror, Mystery",6.6,Scott Cooper,107713,
Bird Box,2018,124,"Horror, Mystery, Sci-Fi",6.6,Susanne Bier,360116,
Mother!,2017,121,"Drama, Horror, Mystery",6.6,Darren Aronofsky,236605,17800000
Event Horizon,1997,96,"Horror, Sci-Fi, Thriller",6.6,Paul W.S. Anderson,188518,26670000
Speak No Evil,2022,97,"Drama, Horror, Thriller",6.6,Christian Tafdrup,27616,
Life I,2017,104,"Horror, Sci-Fi, Thriller",6.6,Daniel Espinosa,240377,30230000
Resident Evil,2002,100,"Action, Horror, Sci-Fi",6.6,Paul W.S. Anderson,279094,40120000
You're Next,2011,95,"Horror, Thriller",6.6,Adam Wingard,104174,18470000
The Faculty,1998,104,"Horror, Mystery, Sci-Fi",6.6,Robert Rodriguez,128887,40060000
Glass,2019,129,"Drama, Horror, Sci-Fi",6.6,M. Night Shyamalan,254065,111050000
Drag Me to Hell,2009,99,Horror,6.6,Sam Raimi,210357,42100000
30 Days of Night,2007,113,"Action, Adventure, Horror",6.6,David Slade,182693,39570000
What Lies Beneath,2000,130,"Drama, Horror, Mystery",6.6,Robert Zemeckis,130856,155460000
Death Becomes Her,1992,104,"Comedy, Fantasy, Horror",6.6,Robert Zemeckis,124437,58420000
Child's Play,1988,87,"Horror, Thriller",6.6,Tom Holland,108877,33240000
The Invitation I,2015,100,"Drama, Horror, Mystery",6.6,Karyn Kusama,114221,230000
Happy Death Day,2017,96,"Comedy, Horror, Mystery",6.6,Christopher Landon,151732,55680000
Overlord,2018,110,"Action, Horror, Sci-Fi",6.6,Julius Avery,102874,21700000
Hush I,2016,82,"Horror, Thriller",6.6,Mike Flanagan,144505,
Prince of Darkness,1987,102,Horror,6.6,John Carpenter,47009,14180000
Saw II,2005,93,"Horror, Mystery",6.6,Darren Lynn Bousman,260764,87040000
From Beyond,1986,85,"Horror, Sci-Fi",6.6,Stuart Gordon,28213,1260000
A Nightmare on Elm Street 3: Dream Warriors,1987,96,"Fantasy, Horror",6.6,Chuck Russell,85536,44790000
Hotel Transylvania 2,2015,89,"Animation, Adventure, Comedy",6.6,Genndy Tartakovsky,134482,169700000
The Hunger,1983,97,"Drama, Horror",6.6,Tony Scott,27761,5980000
The Blob,1988,95,"Horror, Sci-Fi, Thriller",6.6,Chuck Russell,40349,8250000
The Loved Ones,2009,84,"Crime, Horror",6.6,Sean Byrne,42492,
Psycho II,1983,113,"Crime, Horror, Mystery",6.6,Richard Franklin,28989,34730000
May,2002,93,"Comedy, Drama, Horror",6.6,Lucky McKee,38779,150000
Phantasm,1979,89,"Horror, Sci-Fi",6.6,Don Coscarelli,39050,11990000
Rare Exports,2010,84,"Adventure, Fantasy, Horror",6.6,Jalmari Helander,30491,260000
The Girl with All the Gifts,2016,111,"Action, Adventure, Drama",6.6,Colm McCarthy,62316,
Fear Street: Part Three - 1666,2021,114,"Horror, Mystery",6.6,Leigh Janiak,57741,
Demons,1985,88,Horror,6.6,Lamberto Bava,25101,
The Eye,2002,99,"Fantasy, Horror, Mystery",6.6,Danny Pang,29645,510000
Smile V,2022,115,"Horror, Mystery, Thriller",6.5,Parker Finn,130696,
Evil Dead,2013,91,Horror,6.5,Fede Alvarez,187737,54240000
It Chapter Two,2019,169,"Drama, Fantasy, Horror",6.5,Andy Muschietti,281137,211590000
Gerald's Game,2017,103,"Drama, Horror, Thriller",6.5,Mike Flanagan,117039,
The Hunt II,2020,90,"Action, Horror, Thriller",6.5,Craig Zobel,120400,5810000
Silent Hill,2006,125,"Horror, Mystery",6.5,Christophe Gans,236727,46980000
Antichrist,2009,108,"Drama, Horror, Thriller",6.5,Lars von Trier,131305,400000
Insidious: Chapter 2,2013,106,"Horror, Mystery, Thriller",6.5,James Wan,177423,83590000
The Last House on the Left,2009,110,"Horror, Thriller",6.5,Dennis Iliadis,96680,32750000
The Night House,2020,107,"Horror, Mystery, Thriller",6.5,David Bruckner,60235,
Host II,2020,57,"Horror, Mystery",6.5,Rob Savage,34122,
Mandy I,2018,121,"Action, Fantasy, Horror",6.5,Panos Cosmatos,83932,1210000
The Girl Next Door,2007,91,"Crime, Drama, Horror",6.5,Gregory Wilson,27817,
Titane,2021,108,"Drama, Horror, Sci-Fi",6.5,Julia Ducournau,50494,
Slither,2006,95,"Comedy, Horror, Sci-Fi",6.5,James Gunn,85847,7770000
The Blair Witch Project,1999,81,"Horror, Mystery",6.5,Daniel Myrick,271349,140540000
The Endless I,2017,111,"Drama, Fantasy, Horror",6.5,Justin Benson,46030,270000
Oculus,2013,104,"Horror, Mystery, Thriller",6.5,Mike Flanagan,133932,27700000
The Howling,1981,91,Horror,6.5,Joe Dante,38157,17990000
Annabelle: Creation,2017,109,"Horror, Mystery, Thriller",6.5,David F. Sandberg,141513,102090000
Possessor,2020,103,"Horror, Mystery, Sci-Fi",6.5,Brandon Cronenberg,41017,
Crimson Peak,2015,119,"Drama, Horror, Mystery",6.5,Guillermo del Toro,153040,31090000
Halloween I,2018,106,"Crime, Horror, Thriller",6.5,David Gordon Green,160731,159340000
Pet Sematary,1989,103,"Fantasy, Horror, Thriller",6.5,Mary Lambert,109162,57470000
The Final Girls,2015,91,"Comedy, Fantasy, Horror",6.5,Todd Strauss-Schulson,48852,
Arachnophobia,1990,109,"Comedy, Horror, Thriller",6.5,Frank Marshall,72630,53210000
The Crazies,2010,101,"Horror, Thriller",6.5,Breck Eisner,125273,39120000
His House,2020,93,"Drama, Horror, Thriller",6.5,Remi Weekes,45081,
